,idx,RECOGNIZER_DT,RECOGNIZER_ID,AURA_ID,CHANNEL_CD,CORR_ID,STATUS_CD,REASON,VERSION_ID,DURATION_NU,SCORE_NU,INPUT,OUTPUT,INTENT,ENTITIES,AURA_ID_GLOBAL,num_file
111968,606831,2019-02-23T16:38:28.109Z,nlp-recognizer,39eb13ae-94f2-0ca3-3989-cd8b7a874ab9,movistar-home,f4cf15d6-d782-5a1b-b2ca-f30b7c3c8c9e,200.0,,3.0.3,52.0,0.9999561309999999,PON CANAL SEIS,"{""score"":0.999956131,""intent"":""tef.int.es_ES.mh.tv.display"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.display"",""score"":0.999956131}],""entities"":[{""type"":""tef.audiovisual_channel"",""entity"":""SEIS"",""label"":"""",""canon"":""la sexta"",""start_index"":10,""end_index"":14,""score"":1}]}",tv.display,SEIS,346f960a-5acd-578f-0fff-73baf5ade36a,147
512096,1249169,2019-01-06T15:17:28.487Z,nlp-recognizer,965c2db9-10fb-f302-eceb-223e315f0fa5,movistar-plus,cee10f4c-7524-562a-949d-37c2f675267d,200.0,,3.0.3,99.0,0.8643018,Atlético Sevilla,"{""score"":0.8643018,""intent"":""tef.int.es_ES.mp.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.search"",""score"":0.8643018}],""entities"":[{""type"":""tef.audiovisual_sports_team"",""entity"":""Atlético Sevilla"",""label"":"""",""canon"":""atletico sevilla"",""start_index"":0,""end_index"":16,""score"":1.0000000000000002}]}",tv.search,Atlético Sevilla,a536239e-1c16-da42-602e-991ae8a98413,295
1036316,1547685,2018-12-31T20:42:27.590Z,nlp-recognizer,de6c2f72-71a2-5601-141d-1a8a57518a3d,movistar-home,a22dd4ef-78e7-5325-8c33-424f82ba58d9,200.0,,3.0.3,52.0,0.999996662,QUÉ HORA ES,"{""score"":0.999996662,""intent"":""tef.int.es_ES.mh.tv.question_time_loc"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.question_time_loc"",""score"":0.999996662}],""entities"":[]}",tv.question_time_loc,,85b63007-1f10-2f74-1f5b-5c0c5a286ba0,354
134656,728490,2019-02-01T11:55:52.083Z,nlp-recognizer,506acbb2-37eb-97d3-4583-a554f90573f1,movistar-home,aa3708a2-0055-5a4b-819c-51a5309f8ed9,200.0,,3.0.3,14.0,1.0,ENCIENDE LA TELE,"{""score"":1,""intent"":""tef.int.es_ES.mh.tv.on"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.on"",""score"":1}],""entities"":[]}",tv.on,,294b74be-5b87-f2a5-68d5-32661330804a,179
752619,80679,2018-12-14T21:08:42.561Z,nlp-recognizer,66657199-cd0d-7178-998c-2e30cfd399cf,movistar-plus,fe6e4aa1-9a75-5245-bfe3-11c950b84ad0,200.0,,3.0.2,56.0,0.9688243000000001,Terror,"{""score"":0.9688243,""intent"":""tef.int.es_ES.mp.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.search"",""score"":0.9688243}],""entities"":[{""type"":""tef.audiovisual_subgenre"",""entity"":""Terror"",""label"":""TE"",""canon"":""terror"",""start_index"":0,""end_index"":6,""score"":0.999943893790426}]}",tv.search,Terror,584b4a20-2256-16da-e8a6-63ad578129a3,19
1114639,174577,2019-03-09T16:39:57.412Z,nlp-recognizer,a0e44430-a1e2-a31d-d9dd-6132f895fcc7,movistar-plus,8c7a18a2-b46b-5d82-b7ec-bb34b4f86d5b,200.0,,3.0.3,19.0,,Enviar contraseña,"{""score"":0,""intent"":""None"",""intents"":[{""intent"":""None"",""score"":0}],""entities"":[]}",None,,1c57deb1-7872-053c-647c-5e64278e3c38,46
1114418,173824,2019-03-09T16:19:40.484Z,nlp-recognizer,f97a3b56-1b46-8a40-42c1-130250464402,movistar-home,39e88291-c21e-5c79-a6b8-9d7278a7b31e,200.0,,3.0.3,47.0,0.9993,COMPETIR CON NOSOTROS PARA VER QUIÉN USA MEJOR LA LÓGICA,"{""score"":0.9993,""intent"":""tef.int.es_ES.mh.tv.search_similar"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.search_similar"",""score"":0.9993}],""entities"":[{""type"":""tef.audiovisual_tvshow_title"",""entity"":""USA MEJOR LA LÓGICA"",""label"":"""",""canon"":""usa mejor la logica"",""start_index"":37,""end_index"":56,""score"":0.9999999999999998},{""type"":""tef.audiovisual_film_title"",""entity"":""NOSOTROS"",""label"":"""",""canon"":""nosotros"",""start_index"":13,""end_index"":21,""score"":0.9999999999999256}]}",tv.search_similar,"USA MEJOR LA LÓGICA,NOSOTROS",6d62ab57-c54f-3139-3a02-b4435aad48ac,46
1128139,964752,2019-03-10T20:54:46.362Z,nlp-recognizer,0140394d-f0e5-600f-3ec3-6350bc65bebf,movistar-home,3bd1db42-a956-5630-851e-e2b86624ee62,200.0,,3.0.3,14.0,1.0,BAJA DE CANAL,"{""score"":1,""intent"":""tef.int.es_ES.mh.tv.channel_down"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.channel_down"",""score"":1}],""entities"":[]}",tv.channel_down,,97de02f1-cd8b-f3b7-2a6a-9898a5763038,254
1132761,216051,2019-03-11T17:50:18.045Z,nlp-recognizer,24649203-ccd8-3e07-a5a6-8d9e13a31d2c,movistar-home,0912cec7-9ff4-56d9-903c-85a1e8324e0b,200.0,,3.0.3,36.0,1.0,ENCIENDE LA TELEVISIÓN,"{""score"":1,""intent"":""tef.int.es_ES.mh.tv.on"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.on"",""score"":1}],""entities"":[]}",tv.on,,d7d2171f-bd14-fd5b-081f-676c136ab7d8,57
777555,950569,2018-12-16T22:40:41.027Z,nlp-recognizer,26a1d82c-b7d0-6b21-e3c5-3301daa5cb26,movistar-plus,d35121b9-6f2b-5046-a0c1-6d9dd9543991,200.0,,3.0.2,48.0,0.508463264,Gran Hermano,"{""score"":0.508463264,""intent"":""tef.int.es_ES.mp.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.search"",""score"":0.508463264}],""entities"":[{""type"":""tef.audiovisual_film_title"",""entity"":""Hermano"",""label"":"""",""canon"":""hermano"",""start_index"":5,""end_index"":12,""score"":0.9570773752865337}]}",tv.search,Hermano,ee5f864c-615f-485e-bbac-cb0463fa0fd2,216
